Unstructured;;Traffic Data;2025
Munich;&h?ja6;7&32?ß;a2%?d9
Hannover;Truck;Detour at 18:45;88 min
Berlin;Bus;Detour at 08:30;86 min
Berlin;Truck;Delay at 07:00;86 min
Dortmund;Train;Detour at 21:30;86 min
Dortmund;Bicycle;Construction at 07:00;84 min
Frankfurt;Motorcycle;canceled at 18:45;83 min
Cologne;E-Scooter;Traffic Jam at 15:20;82 min
Cologne;Train;Traffic Jam at 10:15;81 min
Hannover;Motorcycle;canceled at 10:15;80 min
Berlin;Train;Traffic Jam at 12:45;76 min
Berlin;Bicycle;canceled at 17:00;74 min
Berlin;Truck;Construction at 18:45;72 min
Stuttgart;Motorcycle;Traffic Jam at 12:45;68 min
Cologne;Car;Detour at 21:30;67 min
Munich;Train;canceled at 07:00;65 min
Berlin;Train;Delay at 18:45;64 min
Dortmund;Train;Detour at 07:00;62 min
Hamburg;Motorcycle;Detour at 15:20;58 min
Hamburg;Bicycle;Delay at 21:30;57 min
Hamburg;Train;Accident at 07:00;50 min
Munich;Train;Construction at 08:30;50 min
Frankfurt;E-Scooter;Accident at 18:45;5 min
Hannover;Train;Detour at 08:30;5 min
Munich;Train;canceled at 12:45;49 min
Cologne;Truck;Traffic Jam at 10:15;44 min
Hannover;Car;Traffic Jam at 21:30;43 min
Hamburg;Motorcycle;Delay at 10:15;42 min
Hannover;Truck;Construction at 10:15;40 min
Munich;Car;Construction at 12:45;40 min
Stuttgart;Motorcycle;Construction at 08:30;39 min
Dortmund;E-Scooter;canceled at 08:30;37 min
Cologne;Bicycle;canceled at 08:30;37 min
Berlin;Truck;Detour at 12:45;32 min
Hannover;Bus;Delay at 07:00;32 min
Frankfurt;Truck;Delay at 10:15;31 min
Berlin;E-Scooter;Construction at 15:20;24 min
Dortmund;Motorcycle;Traffic Jam at 21:30;21 min
Munich;Bus;Traffic Jam at 07:00;20 min
Hamburg;Truck;Detour at 08:30;18 min
Stuttgart;Bus;Detour at 12:45;17 min
Berlin;Motorcycle;Delay at 10:15;16 min
Stuttgart;Train;Construction at 15:20;16 min
Berlin;Bicycle;Accident at 10:15;13 min
Hamburg;E-Scooter;canceled at 21:30;12 min
Berlin;Bus;Detour at 17:00;11 min
Hannover;Bus;Delay at 21:30;11 min
Munich;Bus;canceled at 08:30;11 min
